unique_id,product_id,machine_type,brand,location,product_type,air_temperature_K,process_temperature_K,temperature_C,rotational_speed_rpm,vibration_mm_s,pressure_bar,voltage_V,current_A,torque_Nm,tool_wear_min,machine_failure,failure_type,tool_wear_failure,heat_dissipation_failure,power_failure,overstain_failure,random_failures,timestamp,operating_hours,downtime_hours,maintenance_type,maintenance_cost,production_units,defect_rate
11,H29424,Conveyor,Siemens,Factory_C,High,298.4,308.9,25.25,1782,2.651001737,6.179491389,215.8143945,4.694038479,23.9,24,0,None,0,0,0,0,0,2025-01-01 10:00:00,249,0,Preventive,145,246,2.036916093
12,H29425,Press,Bosch,Factory_C,High,298.6,309.1,25.45,1423,4.776612931,7.113728692,220.1214293,8.704805095,44.3,29,0,None,0,0,0,0,0,2025-01-01 11:00:00,535,0,Preventive,89,314,2.861518981
13,M14872,Conveyor,GE,Factory_A,Medium,298.6,309.1,25.45,1339,5.890961452,7.140802307,216.1389843,9.477715678,51.1,34,0,None,0,0,0,0,0,2025-01-01 12:00:00,1081,0,Preventive,257,436,0.302505046
14,M14873,CNC,ABB,Factory_B,Medium,298.6,309.2,25.45,1742,3.067551312,6.347064534,220.6547631,4.8848236,30,37,0,None,0,0,0,0,0,2025-01-01 13:00:00,749,0,Preventive,242,243,0.767583832
15,L47194,Press,ABB,Factory_B,Low,298.6,309.2,25.45,2035,1.606024865,5.97375989,221.806133,4.259054054,19.6,40,0,None,0,0,0,0,0,2025-01-01 14:00:00,589,0,Preventive,233,324,1.086388431
16,L47195,Lathe,Siemens,Factory_A,Low,298.6,309.2,25.45,1542,5.648586183,7.532207006,219.2957646,9.858644641,48.4,42,0,None,0,0,0,0,0,2025-01-01 15:00:00,774,0,Preventive,183,268,2.390998533
17,M14876,Conveyor,GE,Factory_A,Medium,298.6,309.2,25.45,1311,4.48422957,7.239177168,216.8530922,8.904888524,46.6,44,0,None,0,0,0,0,0,2025-01-01 16:00:00,1165,0,Preventive,161,427,1.178406513
18,M14877,Lathe,GE,Factory_A,Medium,298.7,309.2,25.55,1410,4.178571151,7.566283041,222.1156883,9.299824988,45.6,47,0,None,0,0,0,0,0,2025-01-01 17:00:00,967,0,Preventive,87,339,1.714428116
19,H29432,CNC,GE,Factory_B,High,298.8,309.2,25.65,1306,5.400646602,7.861564914,221.6748224,10.94198829,54.5,50,0,None,0,0,0,0,0,2025-01-01 18:00:00,783,0,Preventive,196,328,1.085056322
20,M14879,Lathe,GE,Factory_C,Medium,298.9,309.3,25.75,1632,3.084874711,6.410129652,221.621281,6.754831764,32.5,55,0,None,0,0,0,0,0,2025-01-01 19:00:00,1148,0,Preventive,284,362,0.545444881
21,H29434,Lathe,Siemens,Factory_B,High,298.9,309.3,25.75,1375,4.39704091,7.243522983,221.9055422,8.221410025,42.7,58,0,None,0,0,0,0,0,2025-01-01 20:00:00,1359,0,Preventive,127,362,0.05809097
22,L47201,Lathe,ABB,Factory_A,Low,298.8,309.3,25.65,1450,3.864169849,7.235737819,219.5300692,8.538311163,44.8,63,0,None,0,0,0,0,0,2025-01-01 21:00:00,1202,0,Preventive,144,200,0.106491234
23,M14882,Press,Siemens,Factory_A,Medium,298.9,309.3,25.75,1581,2.960719621,6.410649395,216.7874672,5.642614814,30.7,65,0,None,0,0,0,0,0,2025-01-01 22:00:00,888,0,Preventive,232,319,1.166734293
24,L47203,Conveyor,ABB,Factory_A,Low,299,309.4,25.85,1758,1.374966649,6.289442299,216.7111964,4.537062377,25.7,68,0,None,0,0,0,0,0,2025-01-01 23:00:00,1087,0,Preventive,229,287,0.321801362
25,M14884,Conveyor,Siemens,Factory_C,Medium,299,309.4,25.85,1561,3.782660469,6.905702364,220.3500079,7.483235026,37.3,70,0,None,0,0,0,0,0,2025-01-02 00:00:00,1343,0,Preventive,263,235,1.262537911
26,L47205,Lathe,GE,Factory_C,Low,299,309.5,25.85,1861,2.4592474,5.902416157,222.2237184,4.469681608,23.3,73,0,None,0,0,0,0,0,2025-01-02 01:00:00,813,0,Preventive,50,286,2.126503145
27,L47206,CNC,GE,Factory_C,Low,299.1,309.5,25.95,1512,3.277297986,6.837470214,222.367378,7.955014545,39,75,0,None,0,0,0,0,0,2025-01-02 02:00:00,780,0,Preventive,158,391,2.888515023
28,H29441,Lathe,Siemens,Factory_A,High,299.1,309.4,25.95,1811,2.801761228,6.260360693,215.7792666,4.686636096,24.6,77,0,None,0,0,0,0,0,2025-01-02 03:00:00,773,0,Preventive,179,236,2.194048113
29,L47208,Conveyor,Siemens,Factory_B,Low,299.1,309.4,25.95,1439,4.506773487,6.992205757,216.7408023,9.183918138,44.2,82,0,None,0,0,0,0,0,2025-01-02 04:00:00,1196,0,Preventive,93,233,1.546234964
30,L47209,Conveyor,GE,Factory_B,Low,299,309.4,25.85,1693,2.81582627,6.65809627,219.2425066,6.048142387,30.1,84,0,None,0,0,0,0,0,2025-01-02 05:00:00,1279,0,Preventive,74,321,2.711699
31,M14890,Lathe,Bosch,Factory_A,Medium,299.1,309.5,25.95,1339,4.099002551,6.882550264,218.7375297,9.607358461,48.2,86,0,None,0,0,0,0,0,2025-01-02 06:00:00,875,0,Preventive,252,278,1.907456622
32,L47211,Conveyor,GE,Factory_A,Low,299,309.4,25.85,1798,2.164194852,6.467368259,218.5051367,5.174872858,25.5,89,0,None,0,0,0,0,0,2025-01-02 07:00:00,1320,0,Preventive,263,301,2.552573785
33,L47212,Lathe,Siemens,Factory_A,Low,299,309.4,25.85,1419,5.010144771,7.314429498,224.4353825,9.480157764,48.3,91,0,None,0,0,0,0,0,2025-01-02 08:00:00,1075,0,Preventive,246,269,2.882743392
34,L47213,Conveyor,GE,Factory_A,Low,298.9,309.3,25.75,1665,2.447681995,6.668055429,216.7652369,6.547093955,32.5,93,0,None,0,0,0,0,0,2025-01-02 09:00:00,1636,0,Preventive,271,486,0.820037082
35,M14894,Press,ABB,Factory_A,Medium,298.8,309.1,25.65,1559,3.388605793,6.740446415,220.9574024,6.44773393,34.7,95,0,None,0,0,0,0,0,2025-01-02 10:00:00,1450,0,Preventive,279,393,2.404367462
36,M14895,Conveyor,Bosch,Factory_A,Medium,298.8,309.2,25.65,1452,4.948746039,7.073652832,220.1385094,10.18754089,48.6,98,0,None,0,0,0,0,0,2025-01-02 11:00:00,1545,0,Preventive,68,411,1.421429386
37,M14896,Lathe,ABB,Factory_A,Medium,298.9,309.2,25.75,1581,3.855997013,6.822192482,216.9763599,7.577228101,36.7,101,0,None,0,0,0,0,0,2025-01-02 12:00:00,1783,0,Preventive,208,241,1.799914424
38,L47217,Lathe,GE,Factory_A,Low,298.8,309.1,25.65,1439,4.007753459,7.383432478,219.1195522,8.336076294,39.2,104,0,None,0,0,0,0,0,2025-01-02 13:00:00,1712,0,Preventive,198,485,1.363565784
39,H29452,CNC,Siemens,Factory_C,High,298.9,309.2,25.75,1379,5.226535907,7.496580399,215.372897,9.851472131,50.7,106,0,None,0,0,0,0,0,2025-01-02 14:00:00,1716,0,Preventive,73,367,1.134867027
40,L47219,Conveyor,GE,Factory_A,Low,298.8,309.1,25.65,1350,5.506497691,7.346685834,219.4873429,10.74778492,52.5,111,0,None,0,0,0,0,0,2025-01-02 15:00:00,1721,0,Preventive,219,463,2.239950281
41,L47220,Lathe,Siemens,Factory_A,Low,298.8,309.1,25.65,1362,4.342969953,7.253959642,219.6829955,9.203909692,45.4,113,0,None,0,0,0,0,0,2025-01-02 16:00:00,1225,0,Preventive,273,472,0.50809489
42,L47221,CNC,GE,Factory_A,Low,298.8,309.1,25.65,1368,4.501702263,7.462054131,213.4033901,10.70957614,50.8,115,0,None,0,0,0,0,0,2025-01-02 17:00:00,1307,0,Preventive,67,245,2.294679283
43,M14902,Conveyor,Bosch,Factory_A,Medium,298.8,309.1,25.65,1368,5.661720814,7.477106975,220.1065178,9.975126433,49.1,117,0,None,0,0,0,0,0,2025-01-02 18:00:00,1297,0,Preventive,166,283,2.854842604
44,H29457,Lathe,Bosch,Factory_A,High,298.8,309.2,25.65,1372,4.406854576,6.872331936,219.5747509,9.695704375,48.5,120,0,None,0,0,0,0,0,2025-01-02 19:00:00,1932,0,Preventive,208,358,0.357060428
45,M14904,Conveyor,ABB,Factory_A,Medium,298.8,309.1,25.65,1472,4.537524165,7.217377906,219.648775,9.09823723,47.5,125,0,None,0,0,0,0,0,2025-01-02 20:00:00,1842,0,Preventive,62,219,2.025851175
46,L47225,Press,ABB,Factory_C,Low,298.8,309.1,25.65,1489,5.308485335,7.510698182,226.8591997,9.926770105,49.1,128,0,None,0,0,0,0,0,2025-01-02 21:00:00,1647,0,Preventive,89,302,2.032445051
47,M14906,Press,ABB,Factory_A,Medium,298.7,309,25.55,1843,2.390877649,6.222833645,221.4672972,5.608126609,25.8,130,0,None,0,0,0,0,0,2025-01-02 22:00:00,2073,0,Preventive,287,425,2.108158654
48,L47227,Press,GE,Factory_A,Low,298.8,309.1,25.65,1418,3.797440156,7.414612813,218.230687,8.568494568,46.3,133,0,None,0,0,0,0,0,2025-01-02 23:00:00,1909,0,Preventive,66,470,0.243640224
49,H29462,CNC,GE,Factory_B,High,298.8,309.2,25.65,1425,6.00916906,8.209281327,221.144952,10.71568402,53.9,135,0,None,0,0,0,0,0,2025-01-03 00:00:00,2065,0,Preventive,161,285,2.295156622
50,M14909,Lathe,GE,Factory_A,Medium,298.9,309.2,25.75,1412,4.064109993,7.371045413,223.9378539,8.960855609,44.1,140,0,None,0,0,0,0,0,2025-01-03 01:00:00,1504,0,Preventive,76,477,1.931638425
51,L47230,Conveyor,GE,Factory_A,Low,298.9,309.1,25.75,2861,-0.207277099,5.384754138,223.6473491,1.071092018,4.6,143,1,Power,0,0,1,0,0,2025-01-03 02:00:00,1843,3,Corrective,681,109,3.751372428
52,L47231,Press,ABB,Factory_B,Low,298.9,309.1,25.75,1383,5.840128967,7.588570276,229.5340552,11.97603878,54.9,145,0,None,0,0,0,0,0,2025-01-03 03:00:00,1837,0,Preventive,68,438,0.582969991
53,H29466,Conveyor,GE,Factory_B,High,298.8,309,25.65,1497,3.917996602,7.336121097,221.6693333,8.550947473,43.8,147,0,None,0,0,0,0,0,2025-01-03 04:00:00,1660,0,Preventive,250,271,0.358286531
54,L47233,Lathe,Bosch,Factory_A,Low,298.7,309,25.55,1565,3.9553927,7.030669493,215.3406699,7.476941731,35.1,152,0,None,0,0,0,0,0,2025-01-03 05:00:00,2081,0,Preventive,136,456,2.069678402
55,L47234,Press,Siemens,Factory_A,Low,298.7,309,25.55,1691,2.901529553,6.50879344,227.6834777,6.629724539,30.1,154,0,None,0,0,0,0,0,2025-01-03 06:00:00,2222,0,Preventive,158,250,1.480261619
56,L47235,Conveyor,ABB,Factory_C,Low,298.8,309.1,25.65,1512,3.875032016,6.872398092,213.0754491,7.479035825,40.7,156,0,None,0,0,0,0,0,2025-01-03 07:00:00,1726,0,Preventive,147,441,2.628354751
57,L47236,Press,Bosch,Factory_C,Low,298.8,309.1,25.65,1477,4.870577994,7.054687759,218.8475794,7.8593719,42.4,158,0,None,0,0,0,0,0,2025-01-03 08:00:00,2079,0,Preventive,210,421,2.053676195
58,L47237,Lathe,ABB,Factory_A,Low,298.8,309.1,25.65,1513,3.473955898,7.405745141,218.8803963,8.032614237,40.3,160,0,None,0,0,0,0,0,2025-01-03 09:00:00,1905,0,Preventive,141,482,2.452797373
59,M14918,CNC,Bosch,Factory_C,Medium,298.8,309,25.65,1661,3.30763529,6.333690159,225.3938626,5.652165636,29.5,162,0,None,0,0,0,0,0,2025-01-03 10:00:00,2238,0,Preventive,133,322,1.986184807
60,L47239,Lathe,GE,Factory_C,Low,298.8,309.1,25.65,1378,5.265840469,7.451545417,220.2692258,10.85031251,54.4,165,0,None,0,0,0,0,0,2025-01-03 11:00:00,1756,0,Preventive,218,334,2.295486906
61,L47240,Press,Bosch,Factory_B,Low,298.8,309.1,25.65,1393,5.854491905,7.813192813,210.933981,10.88395833,52.6,167,0,None,0,0,0,0,0,2025-01-03 12:00:00,2014,0,Preventive,101,339,2.510687515
62,M14921,Press,Bosch,Factory_A,Medium,298.8,309,25.65,1592,3.760891646,6.842608691,228.0517758,7.873824863,38.2,169,0,None,0,0,0,0,0,2025-01-03 13:00:00,1992,0,Preventive,87,322,0.208892986
63,L47242,Conveyor,GE,Factory_B,Low,298.8,309,25.65,1829,2.071389581,5.986943436,216.2651692,5.106854801,22.9,172,0,None,0,0,0,0,0,2025-01-03 14:00:00,2367,0,Preventive,138,329,0.450268269
64,M14923,CNC,Siemens,Factory_C,Medium,298.9,309,25.75,1812,3.360014926,6.33691615,214.2223355,5.100889199,25.9,174,0,None,0,0,0,0,0,2025-01-03 15:00:00,2521,0,Preventive,233,355,2.33892826
65,L47244,Conveyor,Siemens,Factory_A,Low,299,309.1,25.85,1523,3.868786815,6.991824983,221.4166884,7.431735801,38.6,177,0,None,0,0,0,0,0,2025-01-03 16:00:00,2038,0,Preventive,147,445,2.075986684
66,L47245,Lathe,GE,Factory_C,Low,299,309.1,25.85,1394,3.946235391,7.437578687,215.5311387,9.185635128,45.1,179,0,None,0,0,0,0,0,2025-01-03 17:00:00,2470,0,Preventive,84,295,2.395813675
67,M14926,Press,ABB,Factory_A,Medium,298.9,308.9,25.75,1679,3.151502945,6.223410825,220.9675037,6.050176259,28.7,181,0,None,0,0,0,0,0,2025-01-03 18:00:00,1953,0,Preventive,192,407,2.721301295
68,H29481,Conveyor,ABB,Factory_C,High,298.8,308.9,25.65,1466,4.526638369,7.255756108,218.7940535,8.45877795,44.1,184,0,None,0,0,0,0,0,2025-01-03 19:00:00,2570,0,Preventive,68,246,2.371214342
69,L47248,Conveyor,Bosch,Factory_A,Low,298.8,308.9,25.65,1527,3.582605746,6.684183088,222.6124723,6.312627212,32.4,189,0,None,0,0,0,0,0,2025-01-03 20:00:00,2130,0,Preventive,77,442,0.704804701
70,L47249,Conveyor,GE,Factory_B,Low,298.9,309,25.75,1410,6.870257353,8.277379802,215.9390026,12.70229347,65.7,191,1,Power,0,0,1,1,0,2025-01-03 21:00:00,2046,4,Corrective,418,150,5.520688299
71,M14930,Conveyor,ABB,Factory_A,Medium,298.9,309,25.75,1924,2.146302189,6.306940588,220.6099929,4.889867762,22.6,193,0,None,0,0,0,0,0,2025-01-03 22:00:00,2015,0,Preventive,294,291,1.217182827
72,L47251,Lathe,Bosch,Factory_A,Low,298.9,309.1,25.75,1452,4.446329584,7.100995858,219.0433505,9.346493204,45.5,196,0,None,0,0,0,0,0,2025-01-03 23:00:00,2120,0,Preventive,244,280,0.573683069
73,L47252,Conveyor,Bosch,Factory_B,Low,298.9,309.1,25.75,1369,4.447154796,7.610315803,224.5372919,8.841728524,44.4,198,0,None,0,0,0,0,0,2025-01-04 00:00:00,2503,0,Preventive,157,350,0.967066549
74,L47253,Lathe,Siemens,Factory_A,Low,299,309.1,25.85,1592,3.22571836,6.33384083,221.9339886,7.127932742,35,200,0,None,0,0,0,0,0,2025-01-04 01:00:00,2539,0,Preventive,254,231,0.225913404
75,L47254,CNC,ABB,Factory_A,Low,298.9,309,25.75,1601,3.446874375,6.781663506,220.5880202,6.617425302,32.3,202,0,None,0,0,0,0,0,2025-01-04 02:00:00,2286,0,Preventive,200,389,2.108587279
76,L47255,Conveyor,Siemens,Factory_B,Low,298.8,308.9,25.65,1379,5.065652391,7.393508868,216.0658224,9.087591862,46.7,204,0,None,0,0,0,0,0,2025-01-04 03:00:00,2620,0,Preventive,170,312,0.866745986
77,L47256,Lathe,ABB,Factory_C,Low,298.8,308.9,25.65,1461,4.629835709,7.814899475,217.634248,9.101832191,47.9,206,0,None,0,0,0,0,0,2025-01-04 04:00:00,2380,0,Preventive,205,442,2.987563412
78,L47257,CNC,Bosch,Factory_A,Low,298.8,308.9,25.65,1455,4.815421997,6.882265589,222.164014,8.072217172,41.3,208,1,Wear,1,0,0,0,0,2025-01-04 05:00:00,2419,3,Corrective,414,112,5.28117228
79,L47258,Conveyor,Siemens,Factory_A,Low,298.8,308.9,25.65,1398,4.707941386,7.791689766,217.6050929,10.53787115,51.5,0,0,None,0,0,0,0,0,2025-01-04 06:00:00,135,0,Preventive,158,371,0.487336057
80,L47259,Conveyor,Bosch,Factory_A,Low,298.8,308.9,25.65,1402,4.081976464,7.143240094,221.9636808,7.41723295,37.9,2,0,None,0,0,0,0,0,2025-01-04 07:00:00,298,0,Preventive,57,242,2.141946258
81,H29494,Press,ABB,Factory_C,High,298.8,308.8,25.65,1445,4.268750229,7.729928313,217.8672892,9.901357575,49.9,4,0,None,0,0,0,0,0,2025-01-04 08:00:00,728,0,Preventive,52,430,0.591882098
82,L47261,Lathe,Bosch,Factory_C,Low,298.9,308.9,25.75,1450,4.710524259,7.681896807,221.5986091,8.730565353,47.5,9,0,None,0,0,0,0,0,2025-01-04 09:00:00,488,0,Preventive,62,432,0.995701479
83,L47262,Conveyor,GE,Factory_A,Low,298.9,308.9,25.75,1453,4.126474679,6.975281226,220.9606028,7.926964444,40.8,11,0,None,0,0,0,0,0,2025-01-04 10:00:00,652,0,Preventive,179,339,1.08477176
84,L47263,Lathe,GE,Factory_A,Low,299,309,25.85,1469,4.317123617,7.104368668,219.5138696,7.74619302,40.1,13,0,None,0,0,0,0,0,2025-01-04 11:00:00,423,0,Preventive,65,483,2.78241037
85,L47264,Conveyor,GE,Factory_C,Low,298.9,308.9,25.75,1422,4.839324603,7.610120902,221.6473443,9.407015276,47.6,15,0,None,0,0,0,0,0,2025-01-04 12:00:00,484,0,Preventive,123,405,2.410106756
86,M14945,CNC,Siemens,Factory_A,Medium,299,309,25.85,1804,3.055021802,6.582035944,214.7869611,5.402369916,26.8,17,0,None,0,0,0,0,0,2025-01-04 13:00:00,641,0,Preventive,150,245,2.69543308
87,H29500,Lathe,Siemens,Factory_A,High,299,309,25.85,1436,4.873153751,6.862644626,215.0713946,8.256237541,43.9,20,0,None,0,0,0,0,0,2025-01-04 14:00:00,878,0,Preventive,166,424,0.234802725
88,L47267,Conveyor,ABB,Factory_B,Low,299,309,25.85,1544,3.472607772,6.665657015,220.231421,5.615366602,31.8,25,0,None,0,0,0,0,0,2025-01-04 15:00:00,428,0,Preventive,120,216,2.039643818
89,M14948,Lathe,GE,Factory_A,Medium,299,309,25.85,1419,4.759311384,7.241513198,219.3237867,9.502966608,45.2,27,0,None,0,0,0,0,0,2025-01-04 16:00:00,459,0,Preventive,272,463,1.511130212
90,M14949,Lathe,GE,Factory_A,Medium,298.9,308.9,25.75,1487,3.858732779,7.110281186,223.5432206,8.398790965,39.5,30,0,None,0,0,0,0,0,2025-01-04 17:00:00,578,0,Preventive,289,367,1.343482942
91,L47270,Lathe,Siemens,Factory_C,Low,298.9,308.9,25.75,1753,3.409776758,6.403045417,221.2539505,5.309465976,25.8,33,0,None,0,0,0,0,0,2025-01-04 18:00:00,350,0,Preventive,57,281,0.349986105
92,L47271,Press,Bosch,Factory_A,Low,298.9,308.9,25.75,1830,2.631634005,6.422220693,219.8295459,4.925396091,24.9,35,0,None,0,0,0,0,0,2025-01-04 19:00:00,514,0,Preventive,275,319,2.888290957
93,M14952,Press,GE,Factory_A,Medium,298.9,308.9,25.75,1727,3.042075036,6.308173352,217.3857717,4.96331324,27.1,37,0,None,0,0,0,0,0,2025-01-04 20:00:00,756,0,Preventive,243,283,2.442552049
94,L47273,Conveyor,Siemens,Factory_A,Low,299.1,309,25.95,1450,4.001392886,6.936763364,217.9101272,8.617846513,43,40,0,None,0,0,0,0,0,2025-01-04 21:00:00,525,0,Preventive,249,438,2.916444097
95,L47274,CNC,Bosch,Factory_C,Low,299,308.9,25.85,1622,2.513092691,6.676055955,220.4933961,6.281182251,31.9,42,0,None,0,0,0,0,0,2025-01-04 22:00:00,691,0,Preventive,192,225,0.857187989
96,M14955,Lathe,ABB,Factory_A,Medium,299,309,25.85,1351,4.925177331,7.8589649,214.2686374,10.39858322,52.2,44,0,None,0,0,0,0,0,2025-01-04 23:00:00,987,0,Preventive,195,448,0.721503331
97,M14956,CNC,Siemens,Factory_A,Medium,299,309,25.85,1575,2.988386073,6.826974511,218.5512017,6.664692385,35.3,47,0,None,0,0,0,0,0,2025-01-05 00:00:00,586,0,Preventive,152,250,1.668410324
98,M14957,Press,GE,Factory_B,Medium,298.9,308.9,25.75,1750,3.216307858,6.776050487,218.5863835,6.370472153,29.9,50,0,None,0,0,0,0,0,2025-01-05 01:00:00,920,0,Preventive,239,277,0.682514867
99,L47278,Conveyor,ABB,Factory_C,Low,298.9,308.8,25.75,1529,3.075419633,6.671179892,224.0491948,7.25067861,32.7,53,0,None,0,0,0,0,0,2025-01-05 02:00:00,838,0,Preventive,111,372,0.593813184
100,L47279,Conveyor,ABB,Factory_B,Low,298.8,308.8,25.65,1523,4.021002705,7.125496937,218.4750059,9.228348834,44.4,55,0,None,0,0,0,0,0,2025-01-05 03:00:00,1276,0,Preventive,267,247,1.766404048
101,L47280,Lathe,Bosch,Factory_C,Low,298.8,308.9,25.65,1852,2.323055688,6.425789871,221.1896484,4.952169679,25,57,0,None,0,0,0,0,0,2025-01-05 04:00:00,698,0,Preventive,281,398,1.823914562
102,L47281,Press,ABB,Factory_A,Low,298.8,308.8,25.65,1991,1.619028718,6.006294084,223.5573703,4.836134837,20.7,59,0,None,0,0,0,0,0,2025-01-05 05:00:00,1119,0,Preventive,197,441,0.549465889
103,L47282,Lathe,Siemens,Factory_A,Low,298.8,308.8,25.65,1555,3.919473974,7.066136721,223.4217183,8.579691373,40.6,61,0,None,0,0,0,0,0,2025-01-05 06:00:00,963,0,Preventive,232,405,0.500979088
104,M14963,CNC,ABB,Factory_C,Medium,298.8,308.8,25.65,1441,3.872029931,7.080844198,211.035791,8.21524317,40.5,63,0,None,0,0,0,0,0,2025-01-05 07:00:00,797,0,Preventive,80,281,0.817371181
105,L47284,CNC,Bosch,Factory_B,Low,298.8,308.7,25.65,1450,4.0365793,6.595431811,224.0440664,8.585358436,43.4,66,0,None,0,0,0,0,0,2025-01-05 08:00:00,1008,0,Preventive,215,382,2.463513517
106,L47285,CNC,ABB,Factory_A,Low,298.8,308.7,25.65,1591,3.057975107,6.478333608,219.5231451,6.423342216,31.1,68,0,None,0,0,0,0,0,2025-01-05 09:00:00,1276,0,Preventive,275,208,1.585510843
107,L47286,Lathe,ABB,Factory_C,Low,298.8,308.7,25.65,1445,4.746332459,7.338036867,214.5561492,10.00874337,48.5,70,0,None,0,0,0,0,0,2025-01-05 10:00:00,1037,0,Preventive,67,462,2.753323691
108,M14967,CNC,Bosch,Factory_A,Medium,298.8,308.8,25.65,1497,5.053467368,7.329644712,215.9808766,8.515192533,46.8,72,0,None,0,0,0,0,0,2025-01-05 11:00:00,1153,0,Preventive,198,491,0.622830026
109,H29522,Press,GE,Factory_A,High,298.9,308.8,25.75,1621,3.442874081,6.532062841,227.0426921,6.480636697,32.7,75,0,None,0,0,0,0,0,2025-01-05 12:00:00,829,0,Preventive,50,480,1.86571371
110,L47289,Conveyor,Bosch,Factory_C,Low,298.9,308.7,25.75,1572,3.890332339,6.369804383,221.9384508,6.254761433,34.1,80,0,None,0,0,0,0,0,2025-01-05 13:00:00,1029,0,Preventive,208,327,0.913880938
111,L47290,Press,GE,Factory_C,Low,298.8,308.6,25.65,1872,1.767193785,6.024616812,223.68044,4.255245673,22.5,82,0,None,0,0,0,0,0,2025-01-05 14:00:00,1158,0,Preventive,215,345,1.676821454
112,H29525,Press,GE,Factory_A,High,298.7,308.6,25.55,1499,3.943027504,6.982114775,224.9037377,8.898608528,43.5,84,0,None,0,0,0,0,0,2025-01-05 15:00:00,1070,0,Preventive,54,411,0.922442576
113,M14972,Conveyor,Siemens,Factory_A,Medium,298.8,308.7,25.65,1498,3.803473907,7.082728939,220.2340131,8.029111745,39.5,89,0,None,0,0,0,0,0,2025-01-05 16:00:00,1489,0,Preventive,83,299,0.669460018
114,M14973,Press,Siemens,Factory_B,Medium,298.8,308.6,25.65,1486,4.692187351,7.357440675,220.2066509,9.0923473,41.9,92,0,None,0,0,0,0,0,2025-01-05 17:00:00,1693,0,Preventive,85,353,1.153954758
115,L47294,CNC,Bosch,Factory_B,Low,298.8,308.6,25.65,1680,3.68806526,6.049689022,216.8063041,5.817508425,29.4,95,0,None,0,0,0,0,0,2025-01-05 18:00:00,1673,0,Preventive,114,498,1.702875087
116,L47295,Lathe,Siemens,Factory_A,Low,298.8,308.6,25.65,1431,4.511501524,6.98017836,211.5678804,8.863506716,45.7,97,0,None,0,0,0,0,0,2025-01-05 19:00:00,974,0,Preventive,276,339,1.800792912
117,L47296,CNC,GE,Factory_C,Low,298.9,308.7,25.75,1564,2.591021077,6.348083544,216.1390643,6.855282769,34.1,99,0,None,0,0,0,0,0,2025-01-05 20:00:00,1459,0,Preventive,81,351,1.198605501
118,L47297,Conveyor,Bosch,Factory_A,Low,298.8,308.6,25.65,1599,3.18618031,6.649442146,220.5271378,6.855083478,33,101,0,None,0,0,0,0,0,2025-01-05 21:00:00,1599,0,Preventive,131,206,2.73163947
